a_final,P_final,M1_final,rad_HeCoreBurning,teff_HeCoreBurning,M2_final,rad2_MLstart,teff2_MLstart,amplitude
2.515527,0.51227,0.46812200000000004,0.221752,24343.066406,0.761533,0.694496,4720.770786,0.413922
1.018071,0.105038,0.473196,0.15634,29748.8125,0.306697,0.257583,3918.9299560000004,0.33515300000000003
2.013954,0.32350500000000004,0.466393,0.15174100000000001,29253.121094,0.48922899999999997,0.41731499999999994,3901.130425,0.41736
2.312392,0.48634700000000003,0.456668,0.16582,27393.785156,0.9701930000000001,0.873626,5342.453197,0.6086050000000001
0.9491629999999999,0.0954,0.463954,0.13061099999999998,31671.626952999995,0.329908,0.304054,3841.2256880000004,0.547608
1.640796,0.22786599999999999,0.46148500000000003,0.127151,32245.060547000005,0.41525200000000007,0.360629,3947.191921,0.507916
3.302537,0.8416540000000001,0.453358,0.12789,31181.878906,1.0135290000000001,0.964399,5862.728093,0.364425
1.46328,0.21074299999999999,0.46548599999999996,0.21011799999999997,24767.035156,0.591807,0.500207,3940.478487,0.510319
1.311526,0.16008599999999998,0.45761499999999994,0.119547,32748.072266000003,0.38971300000000003,0.341665,3892.6306170000003,0.6105619999999999
1.361587,0.167751,0.467883,0.14097200000000001,31107.794922000005,0.363626,0.323017,3926.281823,0.44630299999999995
1.1373959999999999,0.127276,0.468354,0.141997,31061.597656,0.35281,0.291281,3906.7695840000006,0.43193400000000004
1.813236,0.30098400000000003,0.459215,0.129601,31376.087891000003,0.674218,0.625274,4274.711524,0.9812549999999999
2.3157919999999996,0.480229,0.459107,0.155727,28514.169922000005,0.92596,0.831674,5214.391992,0.65504
1.869303,0.30716,0.45731400000000005,0.129449,31281.683594,0.620054,0.552804,4051.406815,0.8482370000000001
2.087972,0.403669,0.45533500000000005,0.125969,31539.308594,0.8798739999999999,0.793845,5244.904681,0.80307
2.222775,0.40728600000000004,0.46961400000000003,0.183643,26730.228516,0.657026,0.611468,4328.8288219999995,0.531088
1.250127,0.149372,0.46468000000000004,0.130428,31871.935547000005,0.387139,0.336121,3904.5726340000006,0.5596810000000001
0.8912059999999999,0.085488,0.472393,0.184774,26816.392578,0.29770399999999997,0.279438,3835.288989,0.319612
2.674925,0.48194499999999996,0.47149399999999997,0.198005,25841.253906,0.433683,0.373863,3905.021058,0.16780499999999998
0.8651270000000001,0.081242,0.46712700000000007,0.133723,31566.472656,0.293192,0.277553,3852.636249,0.47807
1.271693,0.153131,0.46903100000000003,0.14461400000000002,30334.767577999995,0.381421,0.334443,3909.614207,0.48013500000000003
0.877808,0.082972,0.47256000000000004,0.165187,28693.330077999995,0.286609,0.269509,3874.4038020000003,0.35213
1.0191430000000001,0.105991,0.462923,0.129654,31714.070312,0.32868200000000003,0.304131,3830.355983,0.5389510000000001
2.233683,0.45503999999999994,0.44831099999999996,0.113226,32231.976562,0.9375120000000001,0.8473069999999999,5353.963163,0.750055
0.8448,0.07749400000000001,0.467012,0.128592,32634.279297000005,0.275914,0.25999099999999997,4000.545743,0.46284200000000003
1.231829,0.145294,0.46350699999999995,0.13910899999999998,30348.644531,0.378892,0.339006,3803.544818,0.523251
1.5197969999999998,0.199852,0.466026,0.136068,31648.806641000003,0.38263,0.305077,3913.7779219999998,0.38196199999999997
7.68071,2.812,0.465908,0.268457,22157.392578,0.835758,0.751063,5153.535513000001,0.049754
5.220116,1.464988,0.45875,0.129524,31403.082031,0.6666350000000001,0.613196,4204.246785,0.21366300000000002
9.719757000000001,3.825075,0.470859,0.361308,19249.019531,0.717607,0.6573289999999999,4614.689708,0.021956
7.223875,2.361734,0.47227299999999994,0.343936,19537.300781,0.631358,0.579559,4202.06525,0.034977
7.159157,2.209234,0.471192,0.40084200000000003,17970.841797,0.520943,0.418071,3884.5951450000002,0.016158000000000002
3.9543480000000004,1.015887,0.439345,0.137817,28476.414062,0.805569,0.71811,4668.185795,0.300006
3.3843389999999998,0.7483449999999999,0.463674,0.25590999999999997,22466.515625,0.613919,0.535275,4034.4347740000003,0.165328
1.8419450000000002,0.227358,0.461653,0.125564,32798.992188,0.155315,0.16234200000000001,3788.8172549999995,0.099845
17.983791,9.831788000000001,0.478103,0.608412,15118.845703,0.761533,0.694496,4720.770786,0.004258
