,M1_init,M2_init,q_init,P_init,FeH_init,stability,P_final,q_final,M1_final,M2_final,product
0,2.3971937489663704,1.96338990673849,1.22094635443476,31.108324429881,0.208604836318276,stable,414.25872802734375,0.24283061921596527,0.5115808844566345,1.918664574623108,HB
1,0.814475180154146,0.21696158535224802,3.7540064008649505,20.3720468464831,-1.4481387615002799,merger,0.0,0.0,0.0,0.0,merger
2,1.88644475223196,1.01338241057451,1.8615329539443002,7.2637693825320495,-0.111125957366394,merger,0.0,0.0,0.0,0.0,merger
3,1.40047705405924,0.323606311359074,4.32771860405797,40.2257201511474,0.18443974370580699,merger,0.0,0.0,0.0,0.0,merger
4,1.77930538624575,0.545977198357529,3.25893717099992,54.980566451733296,-0.18033328343658,merger,0.0,0.0,0.0,0.0,merger
5,2.2074050591425403,0.8847360384320359,2.49498716369075,20.1582617959294,-0.14482882965896698,merger,0.0,0.0,0.0,0.0,merger
6,1.76871586631209,0.26646341650680705,6.63774370793188,9.28287200532618,-0.60952109235413,merger,0.0,0.0,0.0,0.0,merger
7,1.6170557614304701,0.744200268481147,2.17287715406332,38.944566581012,0.057988867020440996,merger,0.0,0.0,0.0,0.0,merger
8,2.9978109226999403,0.560800022929856,5.3455970045045795,3.7298528644657303,-0.722187085059089,merger,0.0,0.0,0.0,0.0,merger
9,2.9066421838742698,2.56701085626531,1.1323061516393798,39.499357487364605,0.079952938975667,stable,556.11083984375,0.1589265614748001,0.5699848532676697,2.4232780933380127,HB
10,2.44307308431429,2.2035818965675,1.1086826807389598,2.50133885491213,-0.810369531183216,stable,207.44873046875,0.20568513870239258,0.5698875784873962,2.129163980484009,HB
11,1.05425591066097,0.7254504810246519,1.4532431065066,337.87930303609403,-0.766086902225536,stable,771.9368286132812,0.6722884774208069,0.48926085233688354,0.7228198051452637,sdB
12,1.6415055514616201,0.728335307994135,2.25377725539957,290.503622498737,-0.583091560259487,CE,0.47085776925086975,0.6823899149894714,0.4690164625644684,0.7271097302436829,He-WD
13,1.3191043861643201,0.9457106110649781,1.3948287887759399,535.8323895960569,-0.33904027381939894,stable,1256.6981201171875,0.5445168614387512,0.5219094753265381,0.9271940588951111,HB
14,1.49358385677861,0.7681851523726579,1.94430190711894,7.21727887436464,0.04640453455658901,merger,0.0,0.0,0.0,0.0,merger
15,1.74496214447688,0.51842430003499,3.36589574284829,190.783388234897,-0.5807284520923579,merger,0.0,0.0,0.0,0.0,merger
16,1.07286386538883,0.473314508149009,2.26670395037008,4.789918465121,-0.931412654717597,stable,-179.33245849609375,0.7306509017944336,0.31457462906837463,0.46174803376197815,He-WD
17,2.66819332072153,2.43953149086885,1.09373186233035,5.00957362623211,-0.5893124255710029,stable,317.0601501464844,0.1727808564901352,0.5605702996253967,2.272495985031128,HB
18,1.64805303419326,0.040641519808872005,40.5509695981766,105.951494669246,-0.325427214079077,CE,62.588462829589844,35.405574798583984,3.442645311355591,-0.4239867627620697,He-WD
19,2.52313791509706,1.46352799094755,1.7240106992852802,3.46707232550594,0.31269079359177504,stable,86.26836395263672,0.26844021677970886,0.4243590533733368,1.4920388460159302,HB
20,1.5381167982874298,1.02937028127132,1.49423081885343,143.395289838906,0.106028888441273,stable,805.6962280273438,0.4074019491672516,0.41890689730644226,1.0190082788467407,He-WD
21,3.9758319171484704,2.0068533567179,1.98112727262281,62.18012139582871,0.475064647548013,stable,-47.100650787353516,0.10813497006893158,0.5449220538139343,1.9731385707855225,HB
22,2.4534867422804503,2.3695135594547296,1.03543899653608,17.2890878100734,0.40470224765838,stable,182.76348876953125,0.3164137899875641,0.7125893831253052,2.4857797622680664,HB
23,2.04330641735539,0.101396332396034,20.1516797409855,12.0780298636217,0.232150875327589,CE,24.6269588470459,18.144927978515625,2.2539541721343994,0.03263918682932854,He-WD
24,1.6288852861852,0.682624931853554,2.38620831173311,80.34214084121679,-0.6120344879313641,merger,0.0,0.0,0.0,0.0,merger
25,1.54672853153478,0.6983694298825941,2.21477124477629,31.582045771093195,0.42307260033671706,merger,0.0,0.0,0.0,0.0,merger
26,1.39207475079231,0.443700351439495,3.1374208883901202,8.66036597816119,-0.9218490760399909,merger,0.0,0.0,0.0,0.0,merger
27,2.6003002434346403,1.0245225823156,2.5380604471962998,35.0507343113122,-0.43711017192942203,merger,0.0,0.0,0.0,0.0,merger
28,0.9299104732167159,0.46029905108191704,2.02023113241488,35.5762694448831,-0.7660911414711159,stable,-18.12531089782715,0.69332355260849,0.33548152446746826,0.42658117413520813,He-WD
29,1.44146953523396,1.06199643033218,1.3573205088675202,30.4186115852804,-0.746704745242818,stable,227.839599609375,0.3763454258441925,0.3801216185092926,1.0765411853790283,He-WD
30,2.1897860377469702,2.1076990280073704,1.03894626730326,15.0949195806733,-0.443191705595389,stable,213.18170166015625,0.30876949429512024,0.6250391602516174,2.1702094078063965,HB
31,1.33271107379689,1.29983403379898,1.02529325986474,16.481064549593302,-0.42316894589053294,stable,219.697509765625,0.29164043068885803,0.3674066960811615,1.3026225566864014,He-WD
32,1.7451452780516898,1.5469114888828102,1.12814811357568,249.60261999408502,-0.016507390420426,stable,1387.937744140625,0.32097887992858887,0.49976304173469543,1.571353554725647,HB
33,1.01668960760233,0.682169706479567,1.49037636521431,69.39863732088,-0.387559234731188,stable,195.92022705078125,0.5259405374526978,0.37096530199050903,0.6850437521934509,He-WD
34,1.3171165149405901,0.7179070095004979,1.8346617284834799,29.1057067678584,-0.316231608494572,stable,144.0943603515625,0.4771344065666199,0.3520318269729614,0.7644914984703064,He-WD
